id_candidato,nome_completo,nome_urna,partido,numero,sq_candidato,tem_foto,tem_proposta
lula,Luiz Inácio Lula Da Silva,Lula,PT,13,280002542548,sim,sim
renan_santos,Renan Antonio Ferreira Dos Santos,Renan Santos,MISSÃO,14,280002540694,sim,sim
hertz_dias,Hertz Da Conceicao Dias,Hertz Dias,PSTU,16,280002541457,sim,sim
edmilson_costa,Edmilson Silva Costa,Edmilson Costa,PCB,21,280002551975,sim,sim
flavio_bolsonaro,Flavio Nantes Bolsonaro,Flavio Bolsonaro,PL,22,280002551544,sim,sim
clariana_barao,Clariana Zacarkim Barao,Clariana Barao,DC,27,280002552484,sim,sim
pablo_marcal,Pablo Henrique Costa Marcal,Pablo Marçal,PRTB,28,280002553884,sim,sim
rui_costa_pimenta,Rui Costa Pimenta,Rui Costa Pimenta,PCO,29,280002552487,sim,sim
zema,Romeu Zema Neto,Zema,NOVO,30,280002539826,sim,sim
veterinario_wilson_grassi,Wilson Grassi Junior,Veterinário Wilson Grassi,DEMOCRATA,35,280002548139,sim,sim
ronaldo_caiado,Ronaldo Ramos Caiado,Ronaldo Caiado,PSD,55,280002551932,sim,sim
escritor_augusto_cury,Augusto Jorge Cury,Escritor Augusto Cury,AVANTE,70,280002551547,sim,sim
samara,Samara Martins Da Silva Feitosa,Samara,UP,80,280002538811,sim,sim
